Original_Row_Data,Violation_Type,Violation_Reason,Recommendation,Column_Affected,Value_Causing_Violation
{},Data Type Consistency,"Data types differ for column 'box_office_us_canada': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_us_canada,"BQ: int64, PD: Int64"
{},Data Type Consistency,"Data types differ for column 'box_office_other': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_other,"BQ: int64, PD: Int64"
{},Data Type Consistency,"Data types differ for column 'box_office_worldwide': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_worldwide,"BQ: int64, PD: Int64"
"{'film': ""A Bug's Life"", 'budget': '120000000', 'box_office_us_canada': 162798565, 'box_office_other': 200460294, 'box_office_worldwide': 363258859}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'film'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",film,A Bug's Life
"{'film': 'Monsters, Inc.', 'budget': '115000000', 'box_office_us_canada': 255873250, 'box_office_other': 272900000, 'box_office_worldwide': 528773250}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,115000000
"{'film': ""A Bug's Life"", 'budget': '120000000', 'box_office_us_canada': 162798565, 'box_office_other': 200460294, 'box_office_worldwide': 363258859}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,120000000
"{'film': 'Cars', 'budget': '120000000', 'box_office_us_canada': 244082982, 'box_office_other': 217900167, 'box_office_worldwide': 461983149}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,120000000
"{'film': 'Ratatouille', 'budget': '150000000', 'box_office_us_canada': 206445654, 'box_office_other': 417280431, 'box_office_worldwide': 623726085}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,150000000
"{'film': 'Soul', 'budget': '150000000', 'box_office_us_canada': 946154, 'box_office_other': 120957731, 'box_office_worldwide': 121903885}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,150000000
"{'film': 'Up', 'budget': '175000000', 'box_office_us_canada': 293004164, 'box_office_other': 442094918, 'box_office_worldwide': 735099082}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Inside Out', 'budget': '175000000', 'box_office_us_canada': 356461711, 'box_office_other': 501149463, 'box_office_worldwide': 857611174}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'The Good Dinosaur', 'budget': '175000000', 'box_office_us_canada': 123087120, 'box_office_other': 209120551, 'box_office_worldwide': 332207671}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
